hduser@node0:~ $ hadoop jar /opt/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-examples-2.7.2.jar wordcount -Dmapreduce.job.reduces=16 /input /output
16/09/13 09:59:33 INFO client.RMProxy: Connecting to ResourceManager at node0/192.168.1.109:8032
16/09/13 09:59:37 INFO input.FileInputFormat: Total input paths to process : 1
16/09/13 09:59:38 INFO mapreduce.JobSubmitter: number of splits:4
16/09/13 09:59:38 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1473666418160_0006
16/09/13 09:59:40 INFO impl.YarnClientImpl: Submitted application application_1473666418160_0006
16/09/13 09:59:40 INFO mapreduce.Job: The url to track the job: http://node0:8088/proxy/application_1473666418160_0006/
16/09/13 09:59:40 INFO mapreduce.Job: Running job: job_1473666418160_0006
16/09/13 10:00:10 INFO mapreduce.Job: Job job_1473666418160_0006 running in uber mode : false
16/09/13 10:00:10 INFO mapreduce.Job:  map 0% reduce 0%
16/09/13 10:00:32 INFO mapreduce.Job:  map 1% reduce 0%
16/09/13 10:00:33 INFO mapreduce.Job:  map 3% reduce 0%
16/09/13 10:00:34 INFO mapreduce.Job:  map 4% reduce 0%
16/09/13 10:00:36 INFO mapreduce.Job:  map 6% reduce 0%
16/09/13 10:00:38 INFO mapreduce.Job:  map 7% reduce 0%
16/09/13 10:00:39 INFO mapreduce.Job:  map 9% reduce 0%
16/09/13 10:00:41 INFO mapreduce.Job:  map 10% reduce 0%
16/09/13 10:00:42 INFO mapreduce.Job:  map 11% reduce 0%
16/09/13 10:00:43 INFO mapreduce.Job:  map 12% reduce 0%
16/09/13 10:00:44 INFO mapreduce.Job:  map 13% reduce 0%
16/09/13 10:00:45 INFO mapreduce.Job:  map 14% reduce 0%
16/09/13 10:00:46 INFO mapreduce.Job:  map 15% reduce 0%
16/09/13 10:00:47 INFO mapreduce.Job:  map 16% reduce 0%
16/09/13 10:00:48 INFO mapreduce.Job:  map 17% reduce 0%
16/09/13 10:00:50 INFO mapreduce.Job:  map 18% reduce 0%
16/09/13 10:00:52 INFO mapreduce.Job:  map 20% reduce 0%
16/09/13 10:00:54 INFO mapreduce.Job:  map 21% reduce 0%
16/09/13 10:00:55 INFO mapreduce.Job:  map 23% reduce 0%
16/09/13 10:00:57 INFO mapreduce.Job:  map 24% reduce 0%
16/09/13 10:00:58 INFO mapreduce.Job:  map 25% reduce 0%
16/09/13 10:00:59 INFO mapreduce.Job:  map 26% reduce 0%
16/09/13 10:03:44 INFO mapreduce.Job:  map 27% reduce 0%
16/09/13 10:03:46 INFO mapreduce.Job:  map 29% reduce 0%
16/09/13 10:03:47 INFO mapreduce.Job:  map 30% reduce 0%
16/09/13 10:03:49 INFO mapreduce.Job:  map 32% reduce 0%
16/09/13 10:03:52 INFO mapreduce.Job:  map 34% reduce 0%
16/09/13 10:03:53 INFO mapreduce.Job:  map 35% reduce 0%
16/09/13 10:03:55 INFO mapreduce.Job:  map 37% reduce 0%
16/09/13 10:03:57 INFO mapreduce.Job:  map 38% reduce 0%
16/09/13 10:03:59 INFO mapreduce.Job:  map 40% reduce 0%
16/09/13 10:04:00 INFO mapreduce.Job:  map 41% reduce 0%
16/09/13 10:04:02 INFO mapreduce.Job:  map 43% reduce 0%
16/09/13 10:04:05 INFO mapreduce.Job:  map 45% reduce 0%
16/09/13 10:04:06 INFO mapreduce.Job:  map 46% reduce 0%
16/09/13 10:04:08 INFO mapreduce.Job:  map 47% reduce 0%
16/09/13 10:04:09 INFO mapreduce.Job:  map 48% reduce 0%
16/09/13 10:06:53 INFO mapreduce.Job:  map 49% reduce 0%
16/09/13 10:06:56 INFO mapreduce.Job:  map 51% reduce 0%
16/09/13 10:06:57 INFO mapreduce.Job:  map 52% reduce 0%
16/09/13 10:06:59 INFO mapreduce.Job:  map 53% reduce 0%
16/09/13 10:07:00 INFO mapreduce.Job:  map 55% reduce 0%
16/09/13 10:07:02 INFO mapreduce.Job:  map 56% reduce 0%
16/09/13 10:07:03 INFO mapreduce.Job:  map 57% reduce 0%
16/09/13 10:07:05 INFO mapreduce.Job:  map 59% reduce 0%
16/09/13 10:07:06 INFO mapreduce.Job:  map 60% reduce 0%
16/09/13 10:07:08 INFO mapreduce.Job:  map 61% reduce 0%
16/09/13 10:07:09 INFO mapreduce.Job:  map 63% reduce 0%
16/09/13 10:07:11 INFO mapreduce.Job:  map 64% reduce 0%
16/09/13 10:07:12 INFO mapreduce.Job:  map 66% reduce 0%
16/09/13 10:07:15 INFO mapreduce.Job:  map 67% reduce 0%
16/09/13 10:10:17 INFO mapreduce.Job:  map 68% reduce 0%
16/09/13 10:10:24 INFO mapreduce.Job:  map 69% reduce 0%
16/09/13 10:10:28 INFO mapreduce.Job:  map 70% reduce 0%
16/09/13 10:10:34 INFO mapreduce.Job:  map 71% reduce 0%
16/09/13 10:10:40 INFO mapreduce.Job:  map 72% reduce 0%
16/09/13 10:10:46 INFO mapreduce.Job:  map 73% reduce 0%
16/09/13 10:10:52 INFO mapreduce.Job:  map 74% reduce 0%
16/09/13 10:10:58 INFO mapreduce.Job:  map 75% reduce 0%
16/09/13 10:11:04 INFO mapreduce.Job:  map 76% reduce 0%
16/09/13 10:11:10 INFO mapreduce.Job:  map 77% reduce 0%
16/09/13 10:11:16 INFO mapreduce.Job:  map 78% reduce 0%
16/09/13 10:11:22 INFO mapreduce.Job:  map 79% reduce 0%
16/09/13 10:11:29 INFO mapreduce.Job:  map 80% reduce 0%
16/09/13 10:11:36 INFO mapreduce.Job:  map 81% reduce 0%
16/09/13 10:11:41 INFO mapreduce.Job:  map 82% reduce 0%
16/09/13 10:11:48 INFO mapreduce.Job:  map 83% reduce 0%
16/09/13 10:11:54 INFO mapreduce.Job:  map 84% reduce 0%
16/09/13 10:12:00 INFO mapreduce.Job:  map 85% reduce 0%
16/09/13 10:12:06 INFO mapreduce.Job:  map 86% reduce 0%
16/09/13 10:12:12 INFO mapreduce.Job:  map 87% reduce 0%
16/09/13 10:12:18 INFO mapreduce.Job:  map 88% reduce 0%
16/09/13 10:12:24 INFO mapreduce.Job:  map 89% reduce 0%
16/09/13 10:12:31 INFO mapreduce.Job:  map 90% reduce 0%
16/09/13 10:12:37 INFO mapreduce.Job:  map 91% reduce 0%
16/09/13 10:12:43 INFO mapreduce.Job:  map 92% reduce 0%
16/09/13 10:12:49 INFO mapreduce.Job:  map 93% reduce 0%
16/09/13 10:12:55 INFO mapreduce.Job:  map 94% reduce 0%
16/09/13 10:13:01 INFO mapreduce.Job:  map 95% reduce 0%
16/09/13 10:13:07 INFO mapreduce.Job:  map 96% reduce 0%
16/09/13 10:13:13 INFO mapreduce.Job:  map 97% reduce 0%
16/09/13 10:13:19 INFO mapreduce.Job:  map 98% reduce 0%
16/09/13 10:13:25 INFO mapreduce.Job:  map 99% reduce 0%
16/09/13 10:13:32 INFO mapreduce.Job:  map 100% reduce 0%
16/09/13 10:14:04 INFO mapreduce.Job:  map 100% reduce 2%
16/09/13 10:14:05 INFO mapreduce.Job:  map 100% reduce 6%
16/09/13 10:14:07 INFO mapreduce.Job:  map 100% reduce 7%
16/09/13 10:14:08 INFO mapreduce.Job:  map 100% reduce 9%
16/09/13 10:14:09 INFO mapreduce.Job:  map 100% reduce 13%
16/09/13 10:14:10 INFO mapreduce.Job:  map 100% reduce 17%
16/09/13 10:14:11 INFO mapreduce.Job:  map 100% reduce 18%
16/09/13 10:14:12 INFO mapreduce.Job:  map 100% reduce 20%
16/09/13 10:14:13 INFO mapreduce.Job:  map 100% reduce 25%
16/09/13 10:14:14 INFO mapreduce.Job:  map 100% reduce 27%
16/09/13 10:14:15 INFO mapreduce.Job:  map 100% reduce 28%
16/09/13 10:14:16 INFO mapreduce.Job:  map 100% reduce 31%
16/09/13 10:14:17 INFO mapreduce.Job:  map 100% reduce 32%
16/09/13 10:14:18 INFO mapreduce.Job:  map 100% reduce 33%
16/09/13 10:14:19 INFO mapreduce.Job:  map 100% reduce 36%
16/09/13 10:14:20 INFO mapreduce.Job:  map 100% reduce 38%
