Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      percent_diff         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   0.35            0.46                   0.95 , 1.02          826.88 , 821.00          342.72 , 342.00            1216.71 , 1221.00        0.93
   0.63            0.74                   0.95 , 1.01          826.88 , 821.00          339.36 , 342.00            1213.35 , 1221.00        1.49
   0.73            0.77                   0.94 , 1.03          818.18 , 821.00          346.08 , 342.00            1212.07 , 1221.00        1.54
   0.08            0.95                   0.95 , 1.03          826.88 , 821.00          346.08 , 342.00            1220.07 , 1221.00        1.91
   0.39            0.99                   0.96 , 1.02          835.58 , 821.00          342.72 , 342.00            1225.71 , 1221.00        1.99
    0.9            1.24                   0.95 , 1.00          826.88 , 821.00          336.00 , 342.00            1209.99 , 1221.00        2.47
   0.46            1.26                   0.94 , 1.04          818.18 , 821.00          349.44 , 342.00            1215.43 , 1221.00        2.52
   0.11            1.27                   0.96 , 1.01          835.58 , 821.00          339.36 , 342.00            1222.35 , 1221.00        2.55
    0.2            1.45                   0.95 , 1.04          826.88 , 821.00          349.44 , 342.00            1223.43 , 1221.00        2.89
   0.66            1.48                   0.96 , 1.03          835.58 , 821.00          346.08 , 342.00            1229.07 , 1221.00        2.97
   0.18            1.75                   0.94 , 1.05          818.18 , 821.00          352.80 , 342.00            1218.79 , 1221.00         3.5
   0.16            1.77                   0.96 , 1.00          835.58 , 821.00          336.00 , 342.00            1218.99 , 1221.00        3.53
   0.85             1.8                   0.97 , 1.01          844.29 , 821.00          339.36 , 342.00            1231.35 , 1221.00        3.61
   0.47            1.94                   0.95 , 1.05          826.88 , 821.00          352.80 , 342.00            1226.79 , 1221.00        3.87
   0.94            1.98                   0.96 , 1.04          835.58 , 821.00          349.44 , 342.00            1232.43 , 1221.00        3.95
   0.09            2.24                   0.94 , 1.06          818.18 , 821.00          356.16 , 342.00            1222.15 , 1221.00        4.48
   0.44            2.26                   0.96 , 0.99          835.58 , 821.00          332.64 , 342.00            1215.63 , 1221.00        4.51
   0.92            2.28                   0.93 , 1.05          809.47 , 821.00          352.80 , 342.00            1209.79 , 1221.00        4.56
   0.57             2.3                   0.97 , 1.00          844.29 , 821.00          336.00 , 342.00            1227.99 , 1221.00        4.59
   0.75            2.43                   0.95 , 1.06          826.88 , 821.00          356.16 , 342.00            1230.15 , 1221.00        4.86
   0.37            2.73                   0.94 , 1.07          818.18 , 821.00          359.52 , 342.00            1225.51 , 1221.00        5.47
   0.71            2.75                   0.96 , 0.98          835.58 , 821.00          329.28 , 342.00            1212.27 , 1221.00         5.5
   0.64            2.77                   0.93 , 1.06          809.47 , 821.00          356.16 , 342.00            1213.15 , 1221.00        5.54
    0.3            2.79                   0.97 , 0.99          844.29 , 821.00          332.64 , 342.00            1224.63 , 1221.00        5.57
   0.64            3.22                   0.94 , 1.08          818.18 , 821.00          362.88 , 342.00            1228.87 , 1221.00        6.45
   0.99            3.24                   0.96 , 0.97          835.58 , 821.00          325.92 , 342.00            1208.91 , 1221.00        6.48
   0.37            3.26                   0.93 , 1.07          809.47 , 821.00          359.52 , 342.00            1216.51 , 1221.00        6.53
   0.02            3.28                   0.97 , 0.98          844.29 , 821.00          329.28 , 342.00            1221.27 , 1221.00        6.56
   0.95            3.32                   0.98 , 0.99          852.99 , 821.00          332.64 , 342.00            1232.63 , 1221.00        6.63
   0.92            3.72                   0.94 , 1.09          818.18 , 821.00          366.24 , 342.00            1232.23 , 1221.00        7.43
   0.09            3.75                   0.93 , 1.08          809.47 , 821.00          362.88 , 342.00            1219.87 , 1221.00        7.51
   0.25            3.77                   0.97 , 0.97          844.29 , 821.00          325.92 , 342.00            1217.91 , 1221.00        7.54
   0.68            3.81                   0.98 , 0.98          852.99 , 821.00          329.28 , 342.00            1229.27 , 1221.00        7.62
   0.18            4.25                   0.93 , 1.09          809.47 , 821.00          366.24 , 342.00            1223.23 , 1221.00        8.49
   0.53            4.26                   0.97 , 0.96          844.29 , 821.00          322.56 , 342.00            1214.55 , 1221.00        8.52
   0.83            4.28                   0.92 , 1.08          800.77 , 821.00          362.88 , 342.00            1210.87 , 1221.00        8.57
    0.4             4.3                   0.98 , 0.97          852.99 , 821.00          325.92 , 342.00            1225.91 , 1221.00         8.6
   0.46            4.74                   0.93 , 1.10          809.47 , 821.00          369.60 , 342.00            1226.59 , 1221.00        9.47
    0.8            4.75                   0.97 , 0.95          844.29 , 821.00          319.20 , 342.00            1211.19 , 1221.00         9.5
   0.55            4.78                   0.92 , 1.09          800.77 , 821.00          366.24 , 342.00            1214.23 , 1221.00        9.55
   0.13            4.79                   0.98 , 0.96          852.99 , 821.00          322.56 , 342.00            1222.55 , 1221.00        9.58
   0.73            5.23                   0.93 , 1.11          809.47 , 821.00          372.96 , 342.00            1229.95 , 1221.00       10.46
   0.28            5.27                   0.92 , 1.10          800.77 , 821.00          369.60 , 342.00            1217.59 , 1221.00       10.53
   0.15            5.28                   0.98 , 0.95          852.99 , 821.00          319.20 , 342.00            1219.19 , 1221.00       10.56
   0.86            5.32                   0.99 , 0.96          861.70 , 821.00          322.56 , 342.00            1231.55 , 1221.00       10.64
    0.0            5.76                   0.92 , 1.11          800.77 , 821.00          372.96 , 342.00            1220.95 , 1221.00       11.52
   0.42            5.77                   0.98 , 0.94          852.99 , 821.00          315.84 , 342.00            1215.83 , 1221.00       11.55
   0.93             5.8                   0.91 , 1.10          792.06 , 821.00          369.60 , 342.00            1209.59 , 1221.00       11.59
   0.59            5.81                   0.99 , 0.95          861.70 , 821.00          319.20 , 342.00            1228.19 , 1221.00       11.62
   0.27            6.25                   0.92 , 1.12          800.77 , 821.00          376.32 , 342.00            1224.31 , 1221.00        12.5
    0.7            6.26                   0.98 , 0.93          852.99 , 821.00          312.48 , 342.00            1212.47 , 1221.00       12.53
   0.66            6.29                   0.91 , 1.11          792.06 , 821.00          372.96 , 342.00            1212.95 , 1221.00       12.58
   0.31             6.3                   0.99 , 0.94          861.70 , 821.00          315.84 , 342.00            1224.83 , 1221.00       12.61
   0.55            6.74                   0.92 , 1.13          800.77 , 821.00          379.68 , 342.00            1227.67 , 1221.00       13.48
   0.97            6.76                   0.98 , 0.92          852.99 , 821.00          309.12 , 342.00            1209.11 , 1221.00       13.51
   0.38            6.78                   0.91 , 1.12          792.06 , 821.00          376.32 , 342.00            1216.31 , 1221.00       13.56
   0.04            6.79                   0.99 , 0.93          861.70 , 821.00          312.48 , 342.00            1221.47 , 1221.00       13.59
   0.82            7.23                   0.92 , 1.14          800.77 , 821.00          383.04 , 342.00            1231.03 , 1221.00       14.46
   0.11            7.27                   0.91 , 1.13          792.06 , 821.00          379.68 , 342.00            1219.67 , 1221.00       14.54
   0.24            7.29                   0.99 , 0.92          861.70 , 821.00          309.12 , 342.00            1218.11 , 1221.00       14.57
   0.78            7.32                   1.00 , 0.93          870.40 , 821.00          312.48 , 342.00            1230.47 , 1221.00       14.65
   0.17            7.76                   0.91 , 1.14          792.06 , 821.00          383.04 , 342.00            1223.03 , 1221.00       15.52
   0.51            7.78                   0.99 , 0.91          861.70 , 821.00          305.76 , 342.00            1214.75 , 1221.00       15.55
   0.85             7.8                   0.90 , 1.13          783.36 , 821.00          379.68 , 342.00            1210.67 , 1221.00        15.6
    0.5            7.82                   1.00 , 0.92          870.40 , 821.00          309.12 , 342.00            1227.11 , 1221.00       15.63
   0.44            8.25                   0.91 , 1.15          792.06 , 821.00          386.40 , 342.00            1226.39 , 1221.00       16.51
   0.79            8.27                   0.99 , 0.90          861.70 , 821.00          302.40 , 342.00            1211.39 , 1221.00       16.54
   0.57            8.29                   0.90 , 1.14          783.36 , 821.00          383.04 , 342.00            1214.03 , 1221.00       16.58
   0.23            8.31                   1.00 , 0.91          870.40 , 821.00          305.76 , 342.00            1223.75 , 1221.00       16.61
   0.72            8.74                   0.91 , 1.16          792.06 , 821.00          389.76 , 342.00            1229.75 , 1221.00       17.49
    0.3            8.78                   0.90 , 1.15          783.36 , 821.00          386.40 , 342.00            1217.39 , 1221.00       17.57
   0.05             8.8                   1.00 , 0.90          870.40 , 821.00          302.40 , 342.00            1220.39 , 1221.00        17.6
   0.96            8.84                   1.01 , 0.91          879.10 , 821.00          305.76 , 342.00            1232.75 , 1221.00       17.67
   0.99            9.24                   0.91 , 1.17          792.06 , 821.00          393.12 , 342.00            1233.11 , 1221.00       18.47
   0.02            9.27                   0.90 , 1.16          783.36 , 821.00          389.76 , 342.00            1220.75 , 1221.00       18.55
   0.33            9.29                   1.00 , 0.89          870.40 , 821.00          299.04 , 342.00            1217.03 , 1221.00       18.58
   0.69            9.33                   1.01 , 0.90          879.10 , 821.00          302.40 , 342.00            1229.39 , 1221.00       18.66
   0.25            9.77                   0.90 , 1.17          783.36 , 821.00          393.12 , 342.00            1224.11 , 1221.00       19.53
    0.6            9.78                   1.00 , 0.88          870.40 , 821.00          295.68 , 342.00            1213.67 , 1221.00       19.56
   0.76             9.8                   0.89 , 1.16          774.66 , 821.00          389.76 , 342.00            1211.75 , 1221.00       19.61
   0.41            9.82                   1.01 , 0.89          879.10 , 821.00          299.04 , 342.00            1226.03 , 1221.00       19.64
   0.53           10.26                   0.90 , 1.18          783.36 , 821.00          396.48 , 342.00            1227.47 , 1221.00       20.51
   0.88           10.27                   1.00 , 0.87          870.40 , 821.00          292.32 , 342.00            1210.31 , 1221.00       20.54
   0.48            10.3                   0.89 , 1.17          774.66 , 821.00          393.12 , 342.00            1215.11 , 1221.00       20.59
   0.14           10.31                   1.01 , 0.88          879.10 , 821.00          295.68 , 342.00            1222.67 , 1221.00       20.62
   0.81           10.75                   0.90 , 1.19          783.36 , 821.00          399.84 , 342.00            1230.83 , 1221.00        21.5
   0.21           10.79                   0.89 , 1.18          774.66 , 821.00          396.48 , 342.00            1218.47 , 1221.00       21.57
   0.14            10.8                   1.01 , 0.87          879.10 , 821.00          292.32 , 342.00            1219.31 , 1221.00        21.6
   0.79           10.84                   1.02 , 0.88          887.81 , 821.00          295.68 , 342.00            1230.67 , 1221.00       21.68
   0.07           11.28                   0.89 , 1.19          774.66 , 821.00          399.84 , 342.00            1221.83 , 1221.00       22.56
   0.41           11.29                   1.01 , 0.86          879.10 , 821.00          288.96 , 342.00            1215.95 , 1221.00       22.59
   0.94           11.32                   0.88 , 1.18          765.95 , 821.00          396.48 , 342.00            1209.47 , 1221.00       22.63
   0.52           11.33                   1.02 , 0.87          887.81 , 821.00          292.32 , 342.00            1227.31 , 1221.00       22.66
   0.69           11.78                   1.01 , 0.85          879.10 , 821.00          285.60 , 342.00            1212.59 , 1221.00       23.57
   0.67           11.81                   0.88 , 1.19          765.95 , 821.00          399.84 , 342.00            1212.83 , 1221.00       23.62
   0.24           11.82                   1.02 , 0.86          887.81 , 821.00          288.96 , 342.00            1223.95 , 1221.00       23.65
   0.96           12.28                   1.01 , 0.84          879.10 , 821.00          282.24 , 342.00            1209.23 , 1221.00       24.55
   0.03           12.31                   1.02 , 0.85          887.81 , 821.00          285.60 , 342.00            1220.59 , 1221.00       24.63
   0.98           12.35                   1.03 , 0.86          896.51 , 821.00          288.96 , 342.00            1232.95 , 1221.00       24.71
   0.31           12.81                   1.02 , 0.84          887.81 , 821.00          282.24 , 342.00            1217.23 , 1221.00       25.61
    0.7           12.84                   1.03 , 0.85          896.51 , 821.00          285.60 , 342.00            1229.59 , 1221.00       25.69
   0.58            13.3                   1.02 , 0.83          887.81 , 821.00          278.88 , 342.00            1213.87 , 1221.00       26.59
   0.43           13.34                   1.03 , 0.84          896.51 , 821.00          282.24 , 342.00            1226.23 , 1221.00       26.67
   0.86           13.79                   1.02 , 0.82          887.81 , 821.00          275.52 , 342.00            1210.51 , 1221.00       27.58
   0.15           13.83                   1.03 , 0.83          896.51 , 821.00          278.88 , 342.00            1222.87 , 1221.00       27.65
   0.12           14.32                   1.03 , 0.82          896.51 , 821.00          275.52 , 342.00            1219.51 , 1221.00       28.64
   0.89           14.36                   1.04 , 0.83          905.22 , 821.00          278.88 , 342.00            1231.87 , 1221.00       28.71
    0.4           14.81                   1.03 , 0.81          896.51 , 821.00          272.16 , 342.00            1216.15 , 1221.00       29.62
   0.62           14.85                   1.04 , 0.82          905.22 , 821.00          275.52 , 342.00            1228.51 , 1221.00        29.7
   0.67            15.3                   1.03 , 0.80          896.51 , 821.00          268.80 , 342.00            1212.79 , 1221.00        30.6
   0.34           15.34                   1.04 , 0.81          905.22 , 821.00          272.16 , 342.00            1225.15 , 1221.00       30.68
   0.06           15.83                   1.04 , 0.80          905.22 , 821.00          268.80 , 342.00            1221.79 , 1221.00       31.66
   0.72           16.36                   1.05 , 0.80          913.92 , 821.00          268.80 , 342.00            1229.79 , 1221.00       32.72
