Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      sum_of_diff(%)         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    0.0            4.19                  0.92% , 1.11          800.77 , 821.00          372.96 , 342.00            1220.95 , 1221.00       51.19
   0.02             7.0                  0.90% , 1.16          783.36 , 821.00          389.76 , 342.00            1220.75 , 1221.00        85.4
   0.02            2.95                  0.97% , 0.98          844.29 , 821.00          329.28 , 342.00            1221.27 , 1221.00       36.01
   0.03           10.09                  1.02% , 0.85          887.81 , 821.00          285.60 , 342.00            1220.59 , 1221.00      123.21
   0.04            5.75                  0.99% , 0.93          861.70 , 821.00          312.48 , 342.00            1221.47 , 1221.00       70.22
   0.05            7.29                  1.00% , 0.90          870.40 , 821.00          302.40 , 342.00            1220.39 , 1221.00        89.0
   0.06           12.88                  1.04% , 0.80          905.22 , 821.00          268.80 , 342.00            1221.79 , 1221.00      157.42
   0.07            8.53                  0.89% , 1.19          774.66 , 821.00          399.84 , 342.00            1221.83 , 1221.00      104.18
   0.08            0.82                  0.95% , 1.03          826.88 , 821.00          346.08 , 342.00            1220.07 , 1221.00        9.96
   0.09            2.66                  0.93% , 1.08          809.47 , 821.00          362.88 , 342.00            1219.87 , 1221.00       32.41
   0.09            1.39                  0.94% , 1.06          818.18 , 821.00          356.16 , 342.00            1222.15 , 1221.00       16.98
   0.11            5.46                  0.91% , 1.13          792.06 , 821.00          379.68 , 342.00            1219.67 , 1221.00       66.62
   0.11            1.41                  0.96% , 1.01          835.58 , 821.00          339.36 , 342.00            1222.35 , 1221.00       17.22
   0.12           11.64                  1.03% , 0.82          896.51 , 821.00          275.52 , 342.00            1219.51 , 1221.00      141.99
   0.13            4.21                  0.98% , 0.96          852.99 , 821.00          322.56 , 342.00            1222.55 , 1221.00       51.43
   0.14            8.54                  1.01% , 0.88          879.10 , 821.00          295.68 , 342.00            1222.67 , 1221.00      104.42
   0.14            8.84                  1.01% , 0.87          879.10 , 821.00          292.32 , 342.00            1219.31 , 1221.00      107.78
   0.15            4.49                  0.98% , 0.95          852.99 , 821.00          319.20 , 342.00            1219.19 , 1221.00       54.79
   0.15           11.34                  1.03% , 0.83          896.51 , 821.00          278.88 , 342.00            1222.87 , 1221.00      138.63
   0.16            1.69                  0.96% , 1.00          835.58 , 821.00          336.00 , 342.00            1218.99 , 1221.00       20.58
   0.17            5.72                  0.91% , 1.14          792.06 , 821.00          383.04 , 342.00            1223.03 , 1221.00       69.98
   0.18            2.92                  0.93% , 1.09          809.47 , 821.00          366.24 , 342.00            1223.23 , 1221.00       35.77
   0.18            1.12                  0.94% , 1.05          818.18 , 821.00          352.80 , 342.00            1218.79 , 1221.00       13.62
    0.2            1.09                  0.95% , 1.04          826.88 , 821.00          349.44 , 342.00            1223.43 , 1221.00       13.32
   0.21            8.27                  0.89% , 1.18          774.66 , 821.00          396.48 , 342.00            1218.47 , 1221.00      100.82
   0.23             7.0                  1.00% , 0.91          870.40 , 821.00          305.76 , 342.00            1223.75 , 1221.00       85.64
   0.24            6.04                  0.99% , 0.92          861.70 , 821.00          309.12 , 342.00            1218.11 , 1221.00       73.58
   0.24            9.79                  1.02% , 0.86          887.81 , 821.00          288.96 , 342.00            1223.95 , 1221.00      119.85
   0.25            7.25                  0.90% , 1.17          783.36 , 821.00          393.12 , 342.00            1224.11 , 1221.00       88.76
   0.25            3.23                  0.97% , 0.97          844.29 , 821.00          325.92 , 342.00            1217.91 , 1221.00       39.37
   0.27            4.46                  0.92% , 1.12          800.77 , 821.00          376.32 , 342.00            1224.31 , 1221.00       54.55
   0.28            3.93                  0.92% , 1.10          800.77 , 821.00          369.60 , 342.00            1217.59 , 1221.00       47.83
    0.3            6.74                  0.90% , 1.15          783.36 , 821.00          386.40 , 342.00            1217.39 , 1221.00       82.04
    0.3            2.67                  0.97% , 0.99          844.29 , 821.00          332.64 , 342.00            1224.63 , 1221.00       32.65
   0.31            5.46                  0.99% , 0.94          861.70 , 821.00          315.84 , 342.00            1224.83 , 1221.00       66.86
   0.31            10.4                  1.02% , 0.84          887.81 , 821.00          282.24 , 342.00            1217.23 , 1221.00      126.57
   0.33            7.59                  1.00% , 0.89          870.40 , 821.00          299.04 , 342.00            1217.03 , 1221.00       92.36
   0.34           12.57                  1.04% , 0.81          905.22 , 821.00          272.16 , 342.00            1225.15 , 1221.00      154.06
   0.35            0.54                  0.95% , 1.02          826.88 , 821.00          342.72 , 342.00            1216.71 , 1221.00         6.6
   0.37            2.39                  0.93% , 1.07          809.47 , 821.00          359.52 , 342.00            1216.51 , 1221.00       29.05
   0.37            1.66                  0.94% , 1.07          818.18 , 821.00          359.52 , 342.00            1225.51 , 1221.00       20.34
   0.38             5.2                  0.91% , 1.12          792.06 , 821.00          376.32 , 342.00            1216.31 , 1221.00       63.26
   0.39            1.25                  0.96% , 1.02          835.58 , 821.00          342.72 , 342.00            1225.71 , 1221.00        15.3
    0.4            3.92                  0.98% , 0.97          852.99 , 821.00          325.92 , 342.00            1225.91 , 1221.00       48.07
    0.4           11.95                  1.03% , 0.81          896.51 , 821.00          272.16 , 342.00            1216.15 , 1221.00      145.35
   0.41            9.14                  1.01% , 0.86          879.10 , 821.00          288.96 , 342.00            1215.95 , 1221.00      111.14
   0.41            8.24                  1.01% , 0.89          879.10 , 821.00          299.04 , 342.00            1226.03 , 1221.00      101.06
   0.42            4.78                  0.98% , 0.94          852.99 , 821.00          315.84 , 342.00            1215.83 , 1221.00       58.15
   0.43           11.03                  1.03% , 0.84          896.51 , 821.00          282.24 , 342.00            1226.23 , 1221.00      135.27
   0.44            5.98                  0.91% , 1.15          792.06 , 821.00          386.40 , 342.00            1226.39 , 1221.00       73.34
   0.44            1.97                  0.96% , 0.99          835.58 , 821.00          332.64 , 342.00            1215.63 , 1221.00       23.94
   0.46            3.19                  0.93% , 1.10          809.47 , 821.00          369.60 , 342.00            1226.59 , 1221.00       39.13
   0.46            0.84                  0.94% , 1.04          818.18 , 821.00          349.44 , 342.00            1215.43 , 1221.00       10.26
   0.47            1.36                  0.95% , 1.05          826.88 , 821.00          352.80 , 342.00            1226.79 , 1221.00       16.68
   0.48            8.02                  0.89% , 1.17          774.66 , 821.00          393.12 , 342.00            1215.11 , 1221.00       97.46
    0.5            6.71                  1.00% , 0.92          870.40 , 821.00          309.12 , 342.00            1227.11 , 1221.00       82.28
   0.51            6.33                  0.99% , 0.91          861.70 , 821.00          305.76 , 342.00            1214.75 , 1221.00       76.94
   0.52            9.49                  1.02% , 0.87          887.81 , 821.00          292.32 , 342.00            1227.31 , 1221.00      116.49
   0.53             7.5                  0.90% , 1.18          783.36 , 821.00          396.48 , 342.00            1227.47 , 1221.00       92.12
   0.53            3.52                  0.97% , 0.96          844.29 , 821.00          322.56 , 342.00            1214.55 , 1221.00       42.73
   0.55            3.66                  0.92% , 1.09          800.77 , 821.00          366.24 , 342.00            1214.23 , 1221.00       44.47
   0.55            4.72                  0.92% , 1.13          800.77 , 821.00          379.68 , 342.00            1227.67 , 1221.00       57.91
   0.57            6.48                  0.90% , 1.14          783.36 , 821.00          383.04 , 342.00            1214.03 , 1221.00       78.68
   0.57            2.39                  0.97% , 1.00          844.29 , 821.00          336.00 , 342.00            1227.99 , 1221.00       29.29
   0.58            10.7                  1.02% , 0.83          887.81 , 821.00          278.88 , 342.00            1213.87 , 1221.00      129.93
   0.59            5.17                  0.99% , 0.95          861.70 , 821.00          319.20 , 342.00            1228.19 , 1221.00        63.5
    0.6            7.89                  1.00% , 0.88          870.40 , 821.00          295.68 , 342.00            1213.67 , 1221.00       95.72
   0.62           12.27                  1.04% , 0.82          905.22 , 821.00          275.52 , 342.00            1228.51 , 1221.00       150.7
