Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    0.12              7.48          0.93% , 1.10          809.47 , 809.00           184.80 , 184.00            1041.77 , 1126.00       1.27
    0.13              7.63          0.93% , 1.09          809.47 , 809.00           183.12 , 184.00            1040.09 , 1126.00       1.35
    0.28              7.33          0.93% , 1.11          809.47 , 809.00           186.48 , 184.00            1043.45 , 1126.00       2.95
    0.29              7.78          0.93% , 1.08          809.47 , 809.00           181.44 , 184.00            1038.41 , 1126.00       3.03
    0.44              7.18          0.93% , 1.12          809.47 , 809.00           188.16 , 184.00            1045.13 , 1126.00       4.63
    0.45              7.93          0.93% , 1.07          809.47 , 809.00           179.76 , 184.00            1036.73 , 1126.00       4.71
     0.6              7.03          0.93% , 1.13          809.47 , 809.00           189.84 , 184.00            1046.81 , 1126.00       6.31
    0.62              8.08          0.93% , 1.06          809.47 , 809.00           178.08 , 184.00            1035.05 , 1126.00       6.39
    0.76              6.88          0.93% , 1.14          809.47 , 809.00           191.52 , 184.00            1048.49 , 1126.00       7.99
    0.78              8.23          0.93% , 1.05          809.47 , 809.00           176.40 , 184.00            1033.37 , 1126.00       8.07
    0.87              8.28          0.92% , 1.10          800.77 , 809.00           184.80 , 184.00            1032.77 , 1126.00       9.03
    0.88              8.43          0.92% , 1.09          800.77 , 809.00           183.12 , 184.00            1031.09 , 1126.00       9.11
    0.92              6.73          0.93% , 1.15          809.47 , 809.00           193.20 , 184.00            1050.17 , 1126.00       9.67
    0.95              8.38          0.93% , 1.04          809.47 , 809.00           174.72 , 184.00            1031.69 , 1126.00       9.75
    0.95              6.68          0.94% , 1.10          818.18 , 809.00           184.80 , 184.00            1050.77 , 1126.00       9.98
    0.96              6.83          0.94% , 1.09          818.18 , 809.00           183.12 , 184.00            1049.09 , 1126.00      10.06
    1.04              8.13          0.92% , 1.11          800.77 , 809.00           186.48 , 184.00            1034.45 , 1126.00      10.71
    1.05              8.58          0.92% , 1.08          800.77 , 809.00           181.44 , 184.00            1029.41 , 1126.00      10.79
    1.08              6.59          0.93% , 1.16          809.47 , 809.00           194.88 , 184.00            1051.85 , 1126.00      11.35
    1.11              8.53          0.93% , 1.03          809.47 , 809.00           173.04 , 184.00            1030.01 , 1126.00      11.43
    1.11              6.53          0.94% , 1.11          818.18 , 809.00           186.48 , 184.00            1052.45 , 1126.00      11.66
    1.12              6.98          0.94% , 1.08          818.18 , 809.00           181.44 , 184.00            1047.41 , 1126.00      11.74
     1.2              7.98          0.92% , 1.12          800.77 , 809.00           188.16 , 184.00            1036.13 , 1126.00      12.39
    1.21              8.73          0.92% , 1.07          800.77 , 809.00           179.76 , 184.00            1027.73 , 1126.00      12.47
    1.24              6.44          0.93% , 1.17          809.47 , 809.00           196.56 , 184.00            1053.53 , 1126.00      13.03
    1.27              6.38          0.94% , 1.12          818.18 , 809.00           188.16 , 184.00            1054.13 , 1126.00      13.34
    1.28              8.67          0.93% , 1.02          809.47 , 809.00           171.36 , 184.00            1028.33 , 1126.00      13.11
    1.28              7.13          0.94% , 1.07          818.18 , 809.00           179.76 , 184.00            1045.73 , 1126.00      13.42
    1.36              7.83          0.92% , 1.13          800.77 , 809.00           189.84 , 184.00            1037.81 , 1126.00      14.07
    1.38              8.88          0.92% , 1.06          800.77 , 809.00           178.08 , 184.00            1026.05 , 1126.00      14.15
    1.39              6.29          0.93% , 1.18          809.47 , 809.00           198.24 , 184.00            1055.21 , 1126.00      14.71
    1.42              6.23          0.94% , 1.13          818.18 , 809.00           189.84 , 184.00            1055.81 , 1126.00      15.02
    1.44              8.82          0.93% , 1.01          809.47 , 809.00           169.68 , 184.00            1026.65 , 1126.00      14.79
    1.45              7.28          0.94% , 1.06          818.18 , 809.00           178.08 , 184.00            1044.05 , 1126.00       15.1
    1.52              7.68          0.92% , 1.14          800.77 , 809.00           191.52 , 184.00            1039.49 , 1126.00      15.75
    1.55              9.03          0.92% , 1.05          800.77 , 809.00           176.40 , 184.00            1024.37 , 1126.00      15.83
    1.55              6.14          0.93% , 1.19          809.47 , 809.00           199.92 , 184.00            1056.89 , 1126.00      16.39
    1.58              6.08          0.94% , 1.14          818.18 , 809.00           191.52 , 184.00            1057.49 , 1126.00       16.7
    1.61              8.97          0.93% , 1.00          809.47 , 809.00           168.00 , 184.00            1024.97 , 1126.00      16.47
    1.61              7.43          0.94% , 1.05          818.18 , 809.00           176.40 , 184.00            1042.37 , 1126.00      16.78
    1.67              7.53          0.92% , 1.15          800.77 , 809.00           193.20 , 184.00            1041.17 , 1126.00      17.43
    1.71              9.18          0.92% , 1.04          800.77 , 809.00           174.72 , 184.00            1022.69 , 1126.00      17.51
    1.73              8.99          0.91% , 1.10          792.06 , 809.00           184.80 , 184.00            1024.77 , 1126.00      17.74
    1.73              5.94          0.94% , 1.15          818.18 , 809.00           193.20 , 184.00            1059.17 , 1126.00      18.38
    1.74              9.14          0.91% , 1.09          792.06 , 809.00           183.12 , 184.00            1023.09 , 1126.00      17.82
    1.76              5.97          0.95% , 1.10          826.88 , 809.00           184.80 , 184.00            1058.77 , 1126.00      18.68
    1.77              9.12          0.93% , 0.99          809.47 , 809.00           166.32 , 184.00            1023.29 , 1126.00      18.15
